Lucas,711,29393
Luetkemeyer,1931,20926
Luján,1939,20932
Lummis,1960,20953
Lynch,1686,20119
Maloney,729,29379
Marchant,1806,20532
Marino,2053,21170
Markey,735,14435
Matheson,1671,20140
Matsui,1814,20538
McCain,754,15039
McCarthy,1503,29744
McCarthy,1833,20703
McCaul,1804,20530
McClintock,1908,20903
McCollum,1653,20122
McDermott,766,15613
McGovern,1504,29729
McHenry,1792,20522
McIntyre,1505,29746
McKeon,778,29315
McKinley,2074,21188
McMorris Rodgers,1809,20535
McNerney,1832,20702
Meehan,2052,21168
Meeks,1506,29776
Mica,800,29331
Michaud,1730,20328
Mikulski,802,14440
Miller,1731,20331
Miller,1584,29905
Miller,808,14256
Miller,1685,20110
Moore,1811,20537
Moran,832,29149
Moran,1507,29722
Mulvaney,2059,21176
Murkowski,1694,40300
Murphy,1837,20707
Murphy,1744,20346
Murray,1409,49308
Nadler,850,29377
Napolitano,1602,29903
Neal,854,15616
Neugebauer,1758,20353
Noem,2060,21177
Norton,868,
Nugent,2001,21115
Nunes,1710,20307
Nunnelee,2034,21147
Olson,1955,20948
Owens,1974,20957
Palazzo,2035,21148
Pallone,887,15454
Pascrell,1510,29741
Pastor,893,29101
Paul,2082,41104
Paulsen,1930,20924
Pearce,1738,20337
Pelosi,905,15448
Perlmutter,1835,20705
Peters,1929,20923
Peterson,910,29127
Petri,912,14675
Pierluisi,1953,
Pingree,1927,20920
Pitts,1514,29752
Poe,1802,20528
Polis,1910,20904
Pompeo,2022,21136
Portman,924,29386
Posey,1915,20909
Price,930,15438
Price,1778,20505
Quigley,1967,20954
Rahall,940,14448
Rangel,944,13035
Reed,1982,21101
Reichert,1810,20536
Reid,952,15054
Renacci,2048,21164
Ribble,2073,21190
Richmond,2023,21137
Rigell,2068,21185
Roby,1986,21192
Roe,1954,20947
Rogers,977,14854
Rogers,1651,20120
Rogers,1704,20301
Rohrabacher,979,15621
Rokita,2017,21131
Rooney,1916,20910
Ros-Lehtinen,985,15634
Roskam,1848,20715
Ross,2003,21117
Roybal-Allard,997,29317
Royce,998,29321
Rubio,2084,41102
Runyan,2039,21153
Ruppersberger,1728,20329
Rush,1003,29346
Ryan,1560,29939
Ryan,1756,20343
Sablan,1962,
Sanchez,1522,29709
Sarbanes,1854,20724
Scalise,1892,20759
Schakowsky,1588,29911
Schiff,1635,20104
Schock,1920,20914
Schrader,1950,20944
Schumer,1036,14858
Schwartz,1798,20525
Schweikert,1994,21105
Scott,2009,21123
Scott,1722,20321
Scott,1037,39307
Scott,2056,21173
Sensenbrenner,1041,14657
Serrano,1042,29134
Sessions,1525,29759
Sewell,1988,21102
Shelby,1049,94659
Sherman,1526,29707
Shimkus,1527,29718
Shuster,1681,20134
Simpson,1590,29910
Sires,1818,20542
Slaughter,1069,15444
Smith,1528,29768
Smith,1860,20729
Smith,1071,14863
Smith,1075,15445
Southerland,2000,21114
Speier,1890,20762
Stivers,2047,21163
Stutzman,1981,21100
Sánchez,1757,20310
Terry,1566,29921
Thompson,1151,29368
Thompson,1593,29901
Thompson,1952,20946
Thornberry,1155,29572
Thune,1534,29754
Tiberi,1664,20130
Tierney,1535,29730
Tipton,1997,21111
Tonko,1942,20934
Toomey,2085,29935
Tsongas,1884,20754
Turner,1741,20342
Upton,1177,15446
Van Hollen,1729,20330
Velázquez,1184,29378
Visclosky,1188,15124
Vitter,1609,29918
Walberg,1855,20725
Walden,1596,29932
Walz,1856,20726
Wasserman Schultz,1777,20504
Waters,1205,29106
Watt,1207,29383
Waxman,1209,14280
Webster,2002,21116
Welch,1879,20750
Westmoreland,1779,20506
Whitfield,1222,29525
Wilson,1688,20138
Wilson,2004,21118
Wittman,1886,20756
Wolf,1238,14869
Womack,1991,21108
Woodall,2008,21122
Wyden,1247,14871
Yarmuth,1853,20723
Yoder,2021,21135
Young,1256,14066
Young,2019,21133
Heller,1863,20730
Hahn,2089,21195
Amodei,2090,21196
Bonamici,2092,21198
Barber,2093,21199
DelBene,2096,31101
Massie,2094,31102
Payne,2097,31103
Schatz,2173,41112
Salmon,1009,29500
Stockman,1114,29570
Shea-Porter,1861,20731
Foster,1888,20749
Grayson,1914,20908
Kirkpatrick,1907,20902
Maffei,1943,20935
Titus,1940,20927
Cotton,2098,21301
Sinema,2099,21300
LaMalfa,2100,21302
Huffman,2101,21303
Bera,2102,21304
Cook,2103,21305
Swalwell,2104,21306
Valadao,2105,21307
Brownley,2106,21308
Cárdenas,2107,21309
Negrete McLeod,2108,21310
Ruiz,2109,21311
Takano,2110,21312
Lowenthal,2111,21313
Vargas,2112,21314
Peters,2113,21315
Esty,2114,21316
Yoho,2115,21317
DeSantis,2116,21318
Murphy,2117,21319
Radel,2118,21320
Frankel,2119,21321
Garcia,2120,21322
Collins,2121,21323
Gabbard,2122,21324
Duckworth,2123,21325
Schneider,2124,21326
Enyart,2125,21327
Davis,2126,21328
Bustos,2127,21329
Walorski,2128,21330
Brooks,2129,21331
Messer,2130,21332
Barr,2131,21333
Warren,2182,41301
Kennedy,2172,21335
Delaney,2133,21334
King,2185,41300
Kildee,2134,14430
Bentivolio,2135,21336
Nolan,867,14263
Wagner,2137,21337
Daines,2138,21338
Hudson,2140,21346
Pittenger,2141,21347
Meadows,2142,21348
Holding,2143,21349
Heitkamp,2174,41303
Cramer,2144,21350
Fischer,2179,41302
Kuster,2145,21340
Lujan Grisham,2146,21341
Horsford,2147,21339
Meng,2148,21342
Jeffries,2149,21343
Maloney,2150,21344
Collins,2151,21345
Wenstrup,2152,21351
Beatty,2153,21352
Joyce,2154,21353
Bridenstine,2155,21354
Mullin,2156,21355
Perry,2157,21356
Rothfus,2158,21357
Cartwright,2159,21358
Rice,2160,21359
Cruz,2175,41304
Weber,2161,21360
O'Rourke,2162,21361
Castro,2163,21362
Gallego,2164,21363
Williams,2165,21364
Veasey,2166,21365
Vela,2167,21366
Stewart,2168,21367
Kaine,2176,41305
Kilmer,2169,21368
Heck,2170,21369
Pocan,2171,21370
Kelly,2190,21371
Sanford,1012,
Smith,2191,
Booker,2194,
McAllister,2195,
