112;29935;14;0;PENNSYL;200;TOOMEY;TOOMEY, PATRICK J.
112;40704;5;0;RHODE I;100;WHITEHOUSE;WHITEHOUSE, SHELDON
112;29142;5;0;RHODE I;100;REED;REED, JOHN F.
112;29936;48;0;SOUTH C;200;DEMINT;DEMINT, JIM
112;29566;48;0;SOUTH C;200;GRAHAM;GRAHAM, LINDSEY
112;29754;37;0;SOUTH D;200;THUNE;THUNE, JOHN R.
112;15425;37;0;SOUTH D;100;JOHNSON;JOHNSON, TIM
112;40705;54;0;TENNESS;200;CORKER;CORKER, BOB
112;40304;54;0;TENNESS;200;ALEXANDER;ALEXANDER, LAMAR
112;40305;49;0;TEXAS;200;CORNYN;CORNYN, JOHN
112;49306;49;0;TEXAS;200;HUTCHISON;HUTCHISON, KAY BAILEY
112;41110;67;0;UTAH;200;LEE;LEE, MIKE
112;14503;67;0;UTAH;200;HATCH;HATCH, ORRIN
112;29147;6;0;VERMONT;328;SANDERS;SANDERS, BERNARD
112;14307;6;0;VERMONT;100;LEAHY;LEAHY, PATRICK
112;40706;40;0;VIRGINI;100;WEBB;WEBB, JIM
112;40909;40;0;VIRGINI;100;WARNER;WARNER, MARK
112;39310;73;0;WASHING;100;CANTWELL;CANTWELL, MARIA
112;49308;73;0;WASHING;100;MURRAY;MURRAY, PATTY
112;40915;56;0;WEST VI;100;MANCHIN;MANCHIN, JOE
112;14922;56;0;WEST VI;100;ROCKEFELLER;ROCKEFELLER, JOHN D.
112;41111;25;0;WISCONS;200;JOHNSON;JOHNSON, RON
112;15703;25;0;WISCONS;100;KOHL;KOHL, HERBERT
112;49706;68;0;WYOMING;200;ENZI;ENZI, MICHAEL B.
112;40707;68;0;WYOMING;200;BARRASSO;BARRASSO, JOHN
