Palmer,,7173
Paterson,,7230
Phelps,,7403
Plater,,7478
Potter,,7559
Purviance,,7658
Skinner,,8563
Smith,,8639
Smith,,8645
Stewart,,8938
Thatcher,,9271
Tibbits,,9376
Trigg,,9470
Van Horne,,9621
Venable,,9658
White,,10043
Williams,,10169
Armstrong,,233
Howland,,4656
Moore,,6625
Alexander,,80
Anderson,,169
Archer,,222
Baldwin,,379
Bedinger,,571
Betton,,679
Bishop,,733
Bryan,,1174
Casey,,1575
Clark,,1756
Conrad,,2005
Covington,,2099
Dickson,,2583
Dwight,,2800
Early,,2819
Ellis,,2919
Elmer,,2942
Fenner,,3104
Fowler,,3324
Goddard,,3639
Griswold,,3846
Halsey,,3972
Hamilton,,3992
Hanna,,4037
Hastings,,4181
Hough,,4600
Kitchell,,5303
Livingston,,5716
Lower,,5812
Lucas,,5822
Magruder,,5917
McFarlan,,6241
Mead,,6393
Meriwether,,6422
Nicholson,,6925
Olin,,7055
Randolph,,7727
Sailly,,8175
Sandford,,8203
Schuneman,,8277
Smith,,8608
Smith,,8651
Smith,,8673
Spalding,,8761
Stanton,,8845
Sumter,,9088
Tenney,,9257
Thompson,,9335
Thruston,,9366
Tompkins,,
Wadsworth,,9707
Walton,,9798
Whitehill,,10054
Wickes,,10086
Williams,,10173
Winston,,10280
Wynns,,10407
Milledge,,6472
Alexander,,80
Barker,,436
Bidwell,,697
Blake,,773
Boyle,,941
Bradley,,956
Broom,,1085
Carleton,,1505
Claiborne,,1736
Clark,,
Clay,,1814
Clinton,,1849
Crowninshield,,2214
Darby,,2332
Dean,,2446
Durell,,2786
Elliott,,2911
Franklin,,3342
Gardner,,3465
Garnett,,3483
Goodrich,,3678
Gregg,,3805
Harris,,4106
Hiester,,4393
Hoge,,4502
Humphrey,,4731
Ilsley,,4798
Jones,,5031
Kelly,,5151
Kirkpatrick,,5296
Knight,,5338
Masters,,6069
Mathewson,,6076
McCreery,,6198
Montgomery,,6601
Morrow,,6729
Parke,,
Parker,,7200
Pugh,,7645
Richards,,7867
Riker,,7907
Russell,,8131
Sloan,,8581
Smith,,8643
Smith,,8647
Story,,8999
Swart,,9108
Thomas,,9290
Tiffin,,9380
Trigg,,9468
Van Alen,,9590
Van Cortlandt,,9602
Verplanck,,9662
Wilbour,,10099
Williams,,10171
Wilson,,10210
Wilson,,10246
Witherell,,10293
Meigs,,6408
Madison,,5903
Allen,,119
Alston,,146
Anderson,,174
Blaisdell,,771
Brent,,1007
Brown,,1117
Calhoun,,1419
Campbell,,1442
Campbell,,1455
Chamberlain,,1624
Chamberlain,,1625
Champlin,,1633
Cook,,2021
Cox,,2114
Crist,,2179
Denning,,
Gardenier,,3460
Gardner,,3467
Garland,,3476
German,,3539
Griswold,,3847
Haven,,4199
Helms,,4293
Hiester,,4391
Hillhouse,,4433
Holland,,4519
Howard,,4622
Hubbard,,4670
Jenkins,,4916
Jones,,5064
Kenan,,5163
Knickerbocker,,5334
Lambert,,5421
Leib,,5594
Livermore,,5712
Love,,5792
Lyon,,5867
Malbone,,5935
Marion,,5981
Mathews,,6075
McKinley,,6311
Miller,,6504
Mumford,,6794
Nelson,,6871
Nicholas,,6913
Nicholson,,6923
Pickman,,7432
Porter,,7537
Poydras,,
Richards,,7873
Robinson,,7985
Say,,8243
Scudder,,8324
Smelt,,8595
Smith,,8679
Stanly,,8842
Stedman,,8865
Swoope,,9132
Thompson,,9328
Upham,,9568
Van Horne,,9619
Van Rensselaer,,9630
Weakley,,9889
Whiteside,,10061
Wilson,,10228
Witherspoon,,10297
Cutts,,2292
Taylor,,9216
Worthington,,10379
Bacon,,323
Baker,,367
Bartlett,,491
Bayard,,524
Blackledge,,754
Bleecker,,793
Blount,,805
Boyd,,927
Butler,,1354
Carr,,1527
Chittenden,,1708
Cobb,,1868
Cochran,,1880
Cooke,,2031
Crawford,,2165
Cutts,,2294
Dinsmoor,,2607
Emott,,2961
Fitch,,3175
Gannett,,3452
Giles,,3582
Gilman,,3610
Gray,,3763
Green,,3779
Hall,,3950
Harper,,4088
Howell,,4651
Key,,5225
Lefever,,5577
Livingston,,5719
Maxwell,,6095
McBryde,,6128
Metcalf,,6440
Milnor,,6538
Mitchill,,6577
Montgomery,,6603
Morgan,,6679
Newbold,,6892
Paulding,,7269
Pond,,7520
Quincy,,7675
Rodman,,8011
Sammons,,8187
Seaver,,8338
Shaw,,8421
Smilie,,8596
Smith,,8620
Stow,,9005
Sullivan,,9067
Tallman,,9173
Tracy,,9451
Turner,,9510
Turner,,9517
